CustomerID,Name,Age,Gender,Email,Phone,Income,SignupDate,MembershipLevel,City_Chennai,City_Delhi,City_Kolkata,City_Mumbai
1,Brandon Russell,1.659856059748714,1,henryrivera@wallace.com,001-148-855-3242,-0.4191643534068303,2021-09-08,Silver,False,True,False,False
2,Steven Johnson,-1.594841777371958,0,moorekeith@yahoo.com,512.212.2472,1.1726214786052316,2022-04-22,Gold,False,False,False,True
3,Evelyn Christian,0.373115054375425,1,hernandezsusan@gmail.com,958.030.4082x359,1.9464223485825425,2021-09-29,Platinum,False,False,True,False
4,George Cook,0.8272589386248211,0,karen57@yahoo.com,001-477-952-4528x8698,-1.5192710959805786,2023-06-03,Silver,True,False,False,False
5,Aaron Graham,1.1300215281244186,0,georgetaylor@yahoo.com,001-364-873-8934,0.4192217276967287,2025-01-23,Platinum,False,False,False,False
6,Kyle Jones,-0.4594820667484678,1,jimmycurtis@yahoo.com,+1-981-905-1751x8572,-0.9700266503000344,2024-02-02,Basic,True,False,False,False
7,Jerome Whitehead,-0.30810077199866914,1,matthewsmelissa@martin.net,814-556-1706x0532,0.3765862303946247,2024-12-02,Gold,True,False,False,False
8,Charles Tyler,1.432784117624016,0,gmckinney@yahoo.com,706-007-7038x5366,0.010676358220025703,2020-12-31,Gold,False,True,False,False
9,Thomas Berry,-0.08102882987397107,0,nanderson@scott.biz,344-601-3232,1.481426346283349,2024-09-04,Basic,False,False,False,True
10,Ryan Mack,0.7515682912499217,0,danielfranco@cohen-cruz.com,+1-251-775-9018,0.9066227031792471,2025-01-03,Gold,False,False,False,False
11,Robert Clark,0.6758776438750225,1,andreawillis@edwards-barnes.com,(550)862-4585x391,0.9147333472661354,2021-02-02,Gold,True,False,False,False
12,Kelsey Pacheco,-1.0650072457476627,1,kentwilson@copeland.com,+1-068-685-5456x9133,-1.3613368374372683,2024-01-21,Silver,False,False,False,True
13,James Hammond,0.6758776438750225,1,roberta32@terrell.net,6263080456,0.06714736058878866,2023-08-05,Basic,True,False,False,False
14,Melinda Little,1.7355467071236133,0,jonesmichelle@gmail.com,001-417-372-6354x44852,1.1516459383315505,2024-04-14,Gold,False,False,False,False
15,Stefanie Tucker,0.6758776438750225,0,dannyherring@mcguire.info,2020450912,0.6570122462064704,2024-10-14,Basic,False,False,False,False
16,Jade Johnson,0.14604311225072697,1,swilson@perez.com,+1-385-742-8266x3911,-0.43108766731719617,2022-04-14,Silver,False,True,False,False
17,Catherine Wilkins,-0.30810077199866914,1,brittneybutler@hotmail.com,+1-726-150-0855,1.1510929051502634,2022-10-02,Gold,False,True,False,False
18,Mary Jackson,-0.6865540088731659,1,brianwilson@stewart.biz,221.855.6954,-0.1334595696785728,2023-08-09,Basic,False,False,True,False
19,James Jones,0.9786402333746198,0,heather59@wise-king.info,(313)223-5508x2790,0.2729536175420998,2022-05-25,Gold,False,False,False,False
20,Kenneth Rogers,0.6758776438750225,1,garciathomas@gmail.com,139.745.4233x6158,-1.4060734534373385,2021-07-16,Platinum,False,False,False,False
